x,Curve1
196.84,506.67
199.79,494.57
200.04,540.93
202.7,473.4
208.63,453.23
214.55,431.05
224.49,407.86
235.34,366.51
262.98,266.69
280.91,231.39
296.92,214.23
312.09,229.32
317.23,250.48
313.39,286.77
340.51,277.66
345.64,295.79
303.87,389.59
318.9,376.47
327.04,394.6
343.09,386.51
364.14,371.36
402.24,346.1
502.37,255.24
593.55,183.54
636.77,176.42
641.95,204.63
654.12,221.75
822.57,113.65
952.06,57.01
951.28,99.34
887.28,174.02
858.35,220.43
928.72,211.25
1022.24,202.04
1129.83,189.78
1205.34,200.75
1216.62,240.04
1067.13,319.89
